0,A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,S,T,U,V,W
2018-01-21,85558.9446439416,606245.4,6941.0,1438423.6186714286,95502.75,144581.19642857142,105845.71428571428,1974180.7142857143,2581487.1428571427,387316.4665700001,446209.9039042857,443447.912,955434.0,1720275.8142857144,1292433.107142857,156238.14285714287,900325.8883571429,1545017.6785714286,0.0,884022.4285714285,188603.9442857143
2018-01-22,60306.27738167536,602181.2142857143,6885.857142857143,1428905.250342857,93261.075,142882.35714285713,104816.75714285715,1956710.7142857143,2561300.4285714286,378974.18193857145,440535.9590742857,439055.3477428571,940173.8571428572,1705740.3142857142,1304651.892857143,155797.95714285714,889119.4831714286,1548362.5714285714,0.0,858642.4571428571,179943.43714285712
2018-01-23,40993.781547980536,602556.8571428572,6906.714285714285,1422706.9866142855,92952.98571428572,141167.4107142857,104492.92857142857,1949671.5714285716,2548359.8571428573,380048.0087271429,441761.58277857146,437830.1696,935910.7142857144,1705878.4571428574,1300835.5714285714,154286.55714285717,889363.6114,1539605.5714285714,0.0,845314.4428571428,174102.48142857145
2018-01-24,40993.781547980536,601474.5142857142,6934.285714285715,1417837.531042857,92235.75,139534.4107142857,104038.28571428572,1936329.7142857143,2537712.714285714,378464.2923428571,437237.14092,438576.7068142858,920609.1428571428,1689286.8285714283,1300187.357142857,154636.27142857146,886727.2900142857,1527824.892857143,0.0,842426.3142857142,169987.77714285714
2018-01-25,41275.02440512339,601661.3,6915.428571428572,1420002.911657143,91356.98571428572,139329.5892857143,103904.34285714284,1940183.7142857143,2554396.285714286,376446.6110257143,433956.7794942857,435225.2245142857,925450.5714285716,1679403.485714286,1353969.9642857143,152133.2142857143,881339.2962142857,1592255.25,0.0,834288.1571428572,168186.70142857142
2018-01-26,40436.42440512339,614812.9,6908.142857142857,1423901.533671429,93189.85714285714,144932.2857142857,104110.34285714288,1932729.857142857,2547035.571428572,379678.87524428574,430914.7271242857,435740.8426,946918.7142857144,1674833.4142857145,1463433.5357142857,159746.24285714288,880230.6509714285,1726307.0357142857,0.0,838987.2,169099.74714285714
2018-01-27,38996.010119409104,617717.4,6998.142857142857,1424269.4427714287,93264.6,149658.01785714287,104694.71428571428,1931759.857142857,2561551.571428572,383170.3683871429,427975.63931571424,438016.4558571428,981641.2857142856,1671287.3714285716,1447437.4285714286,161558.37142857144,880052.4935714286,1704721.5,0.0,850829.8714285714,172708.06428571427
2018-01-28,37442.32440512339,623178.3285714285,7138.428571428572,1440349.0393142856,94168.0285714286,155056.73214285713,105888.25714285715,1936595.0,2594996.285714286,386595.3264585714,427496.5352842857,440858.23187142855,1035952.8571428572,1692184.3714285714,1429690.2857142857,165420.42857142858,886763.3684142857,1670200.607142857,0.0,856526.042857143,178773.25142857144
2018-01-29,38359.88154798053,624204.6,7267.428571428572,1436791.924842857,95808.6107142857,159336.64285714287,106766.75714285714,1929273.2857142857,2593616.285714286,388791.4337614286,430509.5678671428,439219.8405857143,1090869.2857142857,1644761.6857142858,1405678.1785714286,166231.91428571427,885021.3731857144,1654993.607142857,0.0,873102.6285714285,183233.57
2018-01-30,31530.86726226625,629769.7285714286,7339.857142857143,1446496.006457143,97029.88928571428,165095.5,108502.3,1940921.0,2619917.0,389906.1184728572,425150.3009385714,446538.3577857143,1141495.7142857143,1611682.8142857142,1406809.1785714286,163442.58571428573,888456.1538714285,1666073.25,0.0,888859.2000000001,188210.80571428573
2018-01-31,6778.171428571428,633884.2142857143,7385.142857142857,1453398.3323857144,99028.05,170022.82142857142,110084.5,1947656.2857142857,2652781.285714286,397012.1138300001,430587.9242742857,450953.64111428574,1183663.4285714286,1585781.342857143,1413557.357142857,164965.14285714287,895464.3722857143,1673394.75,0.0,900952.2,193341.01428571428
2018-02-01,8184.785714285715,639747.2142857143,7467.142857142857,1464182.6760285716,101881.08214285717,172491.2142857143,111453.54285714286,1963007.4285714289,2676330.285714286,404537.8140571429,436538.20173857146,458526.7837857143,1223528.5714285714,1551008.1,1417062.642857143,169210.41428571427,909952.0961857142,1686394.9285714286,0.0,931211.4,198191.2585714285
2018-02-02,8480.771428571428,643814.5285714286,7556.285714285715,1474217.3992428572,103608.71785714288,173828.51785714287,112623.04285714286,1987249.857142857,2709309.1428571427,407651.8544142857,442198.7263185714,462519.79554285714,1248440.4285714286,1505555.7857142857,1414966.392857143,168708.58571428573,912608.089857143,1692946.7142857143,0.0,945026.7285714288,201480.8157142857
2018-02-03,9299.9,647225.9714285714,7588.428571428572,1474424.4077571428,104970.39642857142,173357.26785714287,113363.65714285712,2006936.7142857143,2732344.714285714,410641.5262,444758.2514757143,462855.8346,1230267.0,1461881.842857143,1412000.6785714286,167475.58571428573,921767.2466285714,1698343.9285714286,0.0,939777.3285714284,200742.50857142857
2018-02-04,9348.42857142857,646699.8571428572,7582.428571428572,1466443.451385714,105379.55357142857,171652.94642857142,113864.1,2011933.7142857143,2724490.571428572,409739.05827142857,442862.54748285713,462540.6465714286,1209292.0,1385578.342857143,1409894.892857143,166968.35714285713,917893.0222428571,1687543.607142857,0.0,942287.1,198393.5757142857
2018-02-05,8278.542857142857,651910.0,7573.285714285715,1476402.0492142856,105336.58928571428,172219.85714285713,114417.17142857144,2033518.4285714289,2736457.4285714286,412463.9873142857,440876.1106885714,465773.5003285714,1164488.2857142857,1406811.9,1418733.5357142857,169103.0142857143,923324.2994428572,1690359.3214285714,0.0,943461.3142857144,197503.65142857144
2018-02-06,9463.271428571428,652023.4428571428,7588.285714285715,1475573.7346,105357.15,170994.94642857142,113963.74285714285,2031407.857142857,2740219.8571428573,413589.2002,439978.51319,461051.5776714286,1139310.142857143,1431233.9714285715,1425198.5357142857,177052.7285714286,923665.0326000002,1690404.107142857,0.0,939301.3428571428,196213.68
2018-02-07,8711.128571428571,654292.9714285714,7660.142857142857,1473607.0656142856,104713.10357142855,170372.23214285713,113954.81428571428,2033601.4285714289,2722410.714285714,408798.4775142857,436374.71816142864,457526.7813285714,1131062.2857142857,1454695.6857142858,1423186.7142857143,177911.8,917609.8867285716,1701601.5,0.0,939892.1857142856,194790.3842857143
2018-02-08,7703.657142857143,653130.0285714286,7724.142857142857,1471444.0985714286,103585.33928571428,171554.4107142857,114405.91428571429,2033576.0,2704781.285714286,406970.43134285713,430161.85762142856,454685.5173285714,1124241.2857142857,1497020.157142857,1421654.142857143,174680.84285714288,913747.7577142856,1703720.25,0.0,927065.9428571428,193458.9242857143
2018-02-09,7111.171428571429,655243.9714285714,7762.285714285715,1469178.7002428572,103379.27142857145,172758.8392857143,114892.1142857143,2031598.857142857,2704421.285714286,405646.5382428572,425756.5392057143,453573.0030285714,1119578.4285714286,1543025.1857142858,1427387.892857143,175914.02857142856,910432.8960714288,1710463.1785714286,0.0,926626.9285714284,194205.53285714285
2018-02-10,6568.685714285714,655944.6,7771.571428571428,1482035.9275285716,104065.4892857143,175576.85714285713,115484.84285714288,2040964.142857143,2702398.4285714286,405178.08861428575,429620.3221157143,456865.6762857143,1142450.2857142857,1604565.357142857,1431721.7142857143,177371.07142857142,913789.5262285714,1732032.2142857143,0.0,950191.0428571427,199574.64428571428
2018-02-11,6517.314285714287,658871.1285714286,7770.857142857143,1491060.1779,105192.41785714283,177886.92857142858,115475.34285714288,2052135.142857143,2710444.0,409547.33344285714,429196.4058671429,457051.5242142857,1154116.2857142857,1664812.0428571426,1431545.6785714286,176372.5285714286,922820.4322,1754505.5357142857,0.0,956240.0,204293.03142857147
2018-02-12,6231.714285714285,658575.5285714286,7735.428571428572,1491413.2672142857,105875.74285714286,178697.80357142858,115640.61428571428,2066077.4285714289,2734231.0,412200.4308285714,432081.2787514287,458591.6739142857,1168047.2857142857,1687873.3857142858,1432672.607142857,172179.18571428573,925594.8420714288,1764444.5357142857,0.0,960354.1714285716,207739.62857142856
2018-02-13,5921.771428571429,662049.4285714285,7704.857142857143,1498908.0151285715,106898.45357142856,180175.17857142855,116239.3,2074015.5714285716,2737583.571428572,415216.6148142857,432363.0157242858,464558.3194714286,1185514.4285714286,1699674.7285714287,1435534.0714285714,169036.55714285714,927962.8692428572,1774738.1785714286,0.0,981959.8714285716,211251.00285714288
2018-02-14,6214.585714285715,663281.6571428571,7636.857142857143,1532244.9641714285,109542.48214285714,182240.98214285716,116986.41428571429,2102379.0,2775856.0,419629.0362571429,438335.4858128572,471777.84184285713,1214893.2857142857,1709155.142857143,1439919.3214285714,170881.30000000002,939883.2171714286,1769661.75,0.0,995902.3428571428,217334.85428571427
2018-02-15,4872.828571428572,670231.0,7156.714285714285,1591682.3041317144,115555.93928571428,185936.89285714287,118125.37142857142,2126287.285714286,2830174.285714286,419884.6145,447912.9384928571,485351.09331428574,1230708.4285714286,1708309.6857142858,1444944.3214285714,169500.97142857144,942465.2751571428,1770611.25,0.0,1015453.0142857142,226347.79142857145
2018-02-16,4367.528571428572,672573.6857142858,6538.0,1655132.573508914,119992.25357142858,188136.5357142857,118749.92857142857,2122309.8571428573,2821028.285714286,410162.7347857143,439742.1740885714,492324.4847,1233404.142857143,1657341.514285714,1438997.5714285714,165388.75714285715,936275.9057,1751894.5714285714,0.0,1021178.5714285716,232963.43571428573
2018-02-17,4296.557142857143,672712.0714285715,6227.142857142857,1699173.707580343,120880.29642857144,187981.67857142855,119510.22857142855,2109288.571428572,2808644.714285714,406528.0506428572,434615.20315285714,491500.5764142857,1228740.4285714286,1608731.9428571428,1435238.5714285714,163323.17142857143,917854.7060857144,1715196.75,0.0,1010338.2571428572,235552.9057142857
